"time","EU","EU27_2020","EU28","EA","EA20","EA19","BE","BG","CZ","DK","DE","EE","IE","EL","ES","FR","HR","IT","CY","LV","LT","LU","HU","MT","NL","AT","PL","PT","RO","SI","SK","FI","SE","EEA","IS","NO","CH","UK","ME","MK","AL","RS","TR","XK","US"
2011-05-01,-0.8,-1.1,-0.8,-1.3,-1.3,-1.3,-1.3,2.5,0.8,-0.3,-1.8,-1.6,0.3,0,-2.2,-1.9,-1.4,0,0.1,-0.7,-0.9,-1.3,-0.3,0.8,-0.6,-1.2,0.4,-0.7,-0.3,0,0.8,0.2,-0.2,-0.8,-0.1,-0.6,-0.9,0.9,NA,-2,NA,1.5,1.1,NA,NA
2011-06-01,-1,-1.1,-1,-1.1,-1.1,-1.1,-1.1,-1.7,-0.8,-1.2,-1.1,-1.1,-1.6,-1,-0.8,-0.9,-0.7,-1.6,-1.3,0.5,-0.9,-1.4,-1.1,0.3,-2,-1.1,-0.9,-1.9,0.9,-1.7,-1,0,-1.8,-1,-1.1,0.1,-2.7,-0.6,NA,-1.9,NA,0.5,-0.6,NA,NA
2011-07-01,0.4,0.5,0.3,0.5,0.5,0.5,-0.5,2.2,-0.2,0.7,0.8,0.3,-0.9,0.7,1,-0.6,-1,1.5,-0.2,0,0.7,-1.4,-0.9,-0.4,0.8,0.4,-0.2,0.2,1.1,-0.6,-0.9,-0.4,1.7,0.4,1.6,-0.1,-3.2,-0.8,NA,-1.5,NA,1,1.2,NA,NA
2011-08-01,-0.4,-0.5,-0.4,-0.6,-0.6,-0.6,-0.2,0,0.1,-1.7,-2.1,2.1,1.1,-0.3,-1.2,0.1,2.8,1,1.3,-0.6,-0.4,1.4,2.4,2.1,-1.3,-0.4,1.2,-0.2,-0.3,2,0.3,-0.7,-2.4,-0.4,-1.7,-1.1,-2.7,0.5,NA,4,NA,0.9,2.5,NA,NA
2011-09-01,1.1,1.2,1.1,1.4,1.4,1.4,2,0.3,-0.4,1.5,2.9,2,0.5,0.5,1.3,1.2,0.4,-0.2,-0.6,-0.2,0.2,0.7,0.9,-2.4,2,1.3,-0.7,0.9,0.8,-0.2,0,0.8,2.1,1.1,0.2,-0.3,3.3,-0.1,NA,1.9,NA,0.2,0.9,NA,NA
2011-10-01,0.2,0.2,0.1,0,0,0,-0.5,-0.5,0.5,0.2,-0.3,-0.2,-1.3,0.8,-0.1,0.1,-1.5,1,-0.8,1.4,1.1,-0.8,2.7,1,-1.7,0,3.4,-0.5,0.8,1.9,0.6,-0.7,-1,0.1,-1.9,-0.3,1.6,-0.2,NA,1.1,NA,-0.1,-0.2,NA,NA
2011-11-01,0.9,1,0.9,1,1,1,2.4,-0.2,0.7,-1.5,0.7,0.1,0.4,0.2,0.9,1.9,-0.7,1,0.6,0.4,-0.9,1.8,3.4,0.3,-0.4,2,3.1,0.5,-0.9,0.6,0.5,0.8,-1.3,0.9,0.3,-0.1,2.2,-0.2,NA,-1.3,NA,0.2,-1.8,NA,NA
2011-12-01,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-1.1,-1.9,0.1,-0.3,-2,1,0.6,-0.4,-0.5,-0.1,-1.5,2.9,-0.2,-1.3,-1.3,-0.3,-0.4,0.5,0.1,-0.9,1.1,-0.6,-0.1,0.3,0.2,-1.6,0.2,-0.2,-0.7,-0.3,0.7,-0.6,NA,-0.6,NA,0.1,0.4,NA,NA
2012-01-01,3,3.4,3,3.4,3.4,3.4,3.6,4.3,2.1,3.9,2.9,3.3,3.6,4.3,3.8,3,1.5,4.2,1.3,4,2.5,3.1,5.3,0,4,1.6,2.2,4.2,2.3,2.8,0.9,5.6,4.3,3,5.2,3.7,0.1,0.5,NA,1.9,NA,0,2.7,NA,NA
2012-02-01,1.8,1.8,1.8,1.9,2,1.9,0.6,4,1.3,2.3,2.6,2.5,1.9,2.7,1.8,1.8,3.9,1.7,3.4,1.7,2.1,1.5,-0.5,0.7,2,1.8,0.7,1.3,1.3,2.7,2.3,1.5,2,1.8,3,1.7,1.4,1.4,NA,2.4,NA,1.6,1,NA,NA
2012-03-01,2.6,2.7,2.6,2.8,2.8,2.8,3.3,1.5,1.6,3,2.9,2.8,2.7,2.8,3.3,1.9,4.1,3.1,4.8,1.9,1.8,2.9,2.4,1.6,2.9,3,1.1,2.9,1.4,3,2.9,2.4,3.7,2.6,5.1,1.7,3.3,2.2,NA,5,NA,6.8,4.2,NA,NA
2012-04-01,1.2,1.1,1.2,1,1,1,0.5,1.1,1.5,-0.2,0.5,1.7,2.3,1.4,1.1,0.2,3,2,2.4,3,2.5,1.6,3.4,3.5,1.4,1.3,1.3,1.5,0.7,2.5,1.6,1.3,0.8,1.2,1.9,1.9,0.3,1.8,NA,2.6,NA,1.5,-0.5,NA,NA
2012-05-01,-2.7,-2.6,-2.7,-2.8,-2.8,-2.8,-3.4,-3.7,-1.1,-3.5,-3.2,-5.2,-1.1,-3.1,-3.6,-2.6,-2.1,-1.7,-3,-3.4,-0.7,-2.9,-3.6,-0.2,-2.9,-3,-0.2,-3,1.2,-3,-1.1,-2.6,-3.8,-2.7,-3.9,-3.3,-1.5,-3.2,NA,-3.5,NA,-1.1,-5.3,NA,NA
2012-06-01,-3,-3,-3,-3.2,-3.2,-3.2,-3.9,-3,-2.2,-2.7,-3.1,-2.6,-3,-2,-3.9,-3.4,-4.2,-2.7,-3.1,-3.6,-3.6,-3.7,-1.5,0,-2.5,-3.4,-0.6,-2.7,-1.3,-2.7,-2.2,-2.7,-2.9,-3,-3.2,-2.3,-4.1,-3.4,NA,-3.8,NA,1.1,-4.8,NA,NA
2012-07-01,0.3,0.4,0.3,0.7,0.6,0.7,0.7,2.3,-1.2,3.6,1.9,-0.9,-1.2,1.5,3,-0.6,-3.7,-1.6,-2,-1.7,-0.2,-0.3,-2.5,-3.1,1.1,0.8,-2.4,0.2,0.3,-0.6,-1.6,1.6,1.5,0.3,-2.2,0,-0.8,-0.8,NA,-5.2,NA,-0.3,-0.4,NA,NA
2012-08-01,3.9,4.1,3.9,4.4,4.4,4.4,5.3,4.8,3.2,3.6,4.2,5.3,4.3,3.4,5,5.3,4.4,3.4,4.9,5,4,5,3.6,1.5,3.1,4.5,0.8,4.2,3.5,6.8,2.9,2.7,2.6,3.9,2.8,2.1,5.1,2.8,NA,7.6,NA,4.5,5.6,NA,NA
2012-09-01,1.8,1.7,1.9,1.7,1.7,1.7,2.4,2.5,2.6,-0.4,2,2.6,2.7,-0.6,1.8,-0.5,5.7,3.6,2.9,3.3,2.5,3.8,2.8,2.5,2,2.2,1.8,1.3,1.9,4,2.8,2.3,1.2,1.8,3.9,2.3,2,2.7,NA,4.2,NA,4.7,5.2,NA,NA
2012-10-01,-1.2,-1.3,-1.2,-1.3,-1.3,-1.3,-1.3,-2.5,-1.2,-1.5,-2.6,-1.8,-1.6,8.3,-1.8,-1.3,-1.9,-1.2,-1.6,-2.3,-1.9,-2,-2,-0.2,-0.1,-1.5,-0.2,-1.6,-1.3,-1.1,-1,-1.3,-3.2,-1.2,0.3,-1.8,-0.3,-0.5,NA,-3.8,NA,1,5.9,NA,NA
2012-11-01,-2.7,-2.9,-2.7,-2.9,-2.8,-2.8,-3.7,-2.9,-3.6,-3.3,-2.6,-3.5,-2.8,-2.9,-4.5,-2.1,-2.8,-2.2,-3.9,-3.7,-2.1,-3.7,-4.8,-0.6,-2.2,-3.3,-2.4,-3.2,-3.1,-3.3,-2.8,-3.9,-2.4,-2.7,-2.9,-3.1,-4.3,-1.8,NA,-1.4,NA,-2.8,-2,NA,NA
2012-12-01,-1.2,-1.1,-1.2,-1.1,-1.1,-1.1,-1.4,-2,-2.3,-2.2,-2.2,-1.3,-1.1,-0.7,-0.5,-0.3,-1.8,-0.7,-1,0.7,-1.7,-1.7,-0.9,0,-1.9,-1.5,-1.3,-1.4,-0.8,-0.5,-1.3,-1.9,-1,-1.2,-1.9,-0.8,-1.5,-1.4,NA,-0.2,NA,-2.2,-0.5,NA,NA
2013-01-01,0.4,0.4,0.4,0.5,0.5,0.5,-0.6,0.2,0.4,1.3,-0.2,0.6,-1,1,2,1.3,-0.9,-0.2,5.9,0.2,0.7,-0.2,2.8,-1.7,0.6,-0.4,-1.4,0.4,0.9,0.6,-0.2,1,1.2,0.4,1.1,1.2,-0.1,-0.2,NA,-0.6,NA,-2.5,-0.3,NA,NA
2013-02-01,2.3,2.2,2.3,2.2,2.2,2.2,1.7,3.5,2.3,3.7,2.3,2.7,1.6,2.5,2.8,2.6,2.2,1.1,3.1,1.6,1,2.4,3.1,0,2.2,2,1.2,1.9,2.7,2.3,-0.2,2.1,1.9,2.3,5.3,1.5,3.7,3.1,NA,0.6,NA,-0.4,1.9,NA,NA
2013-03-01,-0.8,-1.1,-0.8,-1.3,-1.2,-1.3,-1.4,-1.1,0.8,-1.9,-3.3,-1,0.2,-1,-1,-0.3,1,0.4,0.4,-1.3,-1.2,-0.6,-0.2,0.4,-1,-2,1.2,-0.9,-1.2,-0.9,0.5,0.8,-2.3,-0.8,-3.7,-0.3,-1.3,1.4,NA,1.8,NA,0.5,-0.9,NA,NA
2013-04-01,-1.3,-1.2,-1.3,-1.1,-1.1,-1.1,-2,-2.2,-1.3,-3.1,0.8,-1.4,-0.4,-2.4,-2,-1.7,-2.6,-2.1,-1.3,-1.6,1.4,-0.9,-1.7,1.4,-1.6,-1.6,-1,-2,-2.6,-1.9,-1.4,-1,-1.8,-1.3,-4,-1.4,-2.1,-2,NA,-2.8,NA,-0.8,-3,NA,NA
2013-05-01,-2.1,-2.1,-2.1,-2,-2.1,-2.1,-3,-0.4,-1.7,0.7,-1.1,-4.2,-3,-0.4,-1.9,-3.2,-4.1,-2.9,-2.6,-2.6,-3.2,-4.4,-3.4,-0.9,-1.5,-0.9,-3.9,-1.8,-1.7,-3,-1.4,-2.4,1.4,-2.1,-1.3,0.3,-2.4,-2.4,NA,-4.6,NA,-1.9,-1.4,NA,NA
2013-06-01,0.3,0.3,0.3,0.2,0.2,0.2,0.4,-0.8,1.3,-0.1,-0.1,0.6,-0.3,0.3,0.5,0.1,1.4,0.6,0.3,0.2,-2.4,1,0.8,-0.9,0.4,0.6,0.8,0.3,2,1.2,0,0.7,-0.1,0.3,1.8,0.4,1.2,0.7,NA,1.2,NA,0.2,2.2,NA,NA
2013-07-01,1.4,1.5,1.4,1.5,1.4,1.5,2.1,0.2,1.4,2.5,2.1,1.6,0.9,0.7,2.3,0.4,0.4,0.8,0.5,1.4,-0.6,1.4,1.3,0,1.4,1.5,2,1.1,1.3,1.5,0.9,1.6,2.5,1.4,2,3.2,1.5,0.5,NA,0.6,NA,0.9,3,NA,NA
2013-08-01,0.5,0.4,0.5,0.4,0.4,0.4,0.2,2.4,0.8,-0.8,-0.4,0.5,0.7,0.4,0.5,0.7,3.9,1.1,0.9,0.9,4.5,0.8,1,-0.7,0.6,0.1,0.4,0.3,0,1,1.1,0.3,-1,0.5,-0.3,-0.1,0.9,1.4,NA,2.5,NA,0.8,0.6,NA,NA
2013-09-01,0.8,0.9,0.8,0.9,0.9,0.9,3.1,0.7,0.1,0.9,0.7,0.7,1.7,-0.6,0.8,1.3,1,1,1.1,-0.1,2.4,2.5,1.5,1.6,-0.1,1,1.7,0.7,-0.8,0.6,0.9,0.6,0,0.8,-0.6,0.1,1.5,-0.1,NA,1.7,NA,0.8,2.8,NA,NA
2013-10-01,-2.6,-2.5,-2.6,-2.6,-2.6,-2.6,-4.3,-1.4,-2,-2.6,-2.9,-2.9,-2.7,-1.4,-2.3,-2.9,-1.8,-1.6,-3.3,-2.9,-1.6,-4.3,-4.7,-3.1,-3,-2.7,-1.7,-2.7,-2.3,-3.3,-2.5,-2.3,-2.6,-2.6,-1.5,-1.1,-2.7,-3.1,NA,-3.3,NA,-1,-1.6,NA,NA
