,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat,country,,,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%,n_eff,Rhat,country,,,mean,se_mean,sd,2.50%,25%,50%,75%,97.50%
kappa7,0.02,0.01,0.02,0.00,0.00,0.02,0.04,0.04,2.00,"1,198.14",IT,,kappa7,0.02,0.01,0.02,0.00,0.00,0.02,0.04,0.04,2.00,"1,059.81",IT,,kappa7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma7,2.73,1.56,2.21,0.36,1.01,2.22,3.94,6.11,2.00,"2,127.02",IT,,sigma7,2.73,1.57,2.21,0.36,1.01,2.21,3.93,6.13,2.00,685.00,IT,,sigma7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.02
beta8,0.57,0.13,0.18,0.40,0.41,0.51,0.66,0.85,2.00,"3,004.86",NL,,beta8,0.57,0.13,0.18,0.40,0.41,0.51,0.66,0.85,2.00,"2,051.48",NL,,beta8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa8,0.04,0.01,0.02,0.02,0.04,0.05,0.05,0.06,2.00,852.85,NL,,kappa8,0.04,0.01,0.02,0.02,0.04,0.05,0.05,0.06,2.00,449.96,NL,,kappa8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma8,2.73,1.57,2.23,0.35,1.01,2.20,3.93,6.16,2.00,840.22,NL,,sigma8,2.73,1.58,2.23,0.36,1.00,2.21,3.94,6.16,2.00,775.85,NL,,sigma8,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01
beta9,0.56,0.08,0.11,0.44,0.46,0.54,0.64,0.71,2.00,"1,054.81",PL,,beta9,0.56,0.08,0.11,0.44,0.46,0.54,0.64,0.71,2.00,"1,372.27",PL,,beta9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa9,0.05,0.01,0.02,0.02,0.04,0.06,0.07,0.07,2.00,636.91,PL,,kappa9,0.05,0.01,0.02,0.02,0.04,0.06,0.07,0.07,2.00,488.05,PL,,kappa9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma9,2.73,1.57,2.22,0.35,1.01,2.21,3.94,6.14,2.00,"1,131.04",PL,,sigma9,2.73,1.57,2.22,0.35,1.01,2.21,3.93,6.16,2.00,488.50,PL,,sigma9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.02
beta10,0.52,0.08,0.12,0.33,0.50,0.56,0.59,0.65,2.00,"78,825.43",SK,,beta10,0.52,0.08,0.12,0.33,0.50,0.56,0.59,0.65,2.00,"13,246.31",SK,,beta10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa10,0.03,0.03,0.04,0.00,0.00,0.01,0.04,0.09,2.00,"43,646.43",SK,,kappa10,0.03,0.03,0.04,0.00,0.00,0.01,0.04,0.09,2.00,"6,415.43",SK,,kappa10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma10,2.73,1.57,2.22,0.36,1.01,2.21,3.93,6.14,2.00,"20,193.53",SK,,sigma10,2.73,1.57,2.22,0.35,1.01,2.22,3.94,6.14,2.00,"20,874.13",SK,,sigma10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
beta11,0.59,0.08,0.12,0.41,0.54,0.61,0.66,0.73,2.00,"1,962.10",ES,,beta11,0.59,0.08,0.12,0.41,0.54,0.61,0.66,0.73,2.00,"1,228.65",ES,,beta11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa11,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.03,2.00,"1,585.45",ES,,kappa11,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.03,2.00,569.47,ES,,kappa11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma11,2.73,1.57,2.22,0.36,1.01,2.21,3.93,6.14,2.00,"1,938.19",ES,,sigma11,2.74,1.58,2.23,0.36,1.01,2.22,3.95,6.16,2.00,"2,109.55",ES,,sigma11,-0.01,-0.01,-0.01,0.00,0.00,-0.01,-0.02,-0.02
beta12,0.52,0.08,0.12,0.34,0.47,0.53,0.57,0.67,2.00,"1,235.46",SE,,beta12,0.52,0.08,0.12,0.34,0.47,0.53,0.57,0.68,2.00,"1,773.57",SE,,beta12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
kappa12,0.04,0.02,0.02,0.00,0.03,0.04,0.05,0.07,2.00,837.74,SE,,kappa12,0.04,0.02,0.02,0.00,0.03,0.04,0.05,0.07,2.00,"1,054.35",SE,,kappa12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
sigma12,2.72,1.56,2.21,0.35,1.01,2.21,3.92,6.14,2.00,412.73,SE,,sigma12,2.73,1.57,2.22,0.35,1.01,2.21,3.93,6.14,2.00,"4,885.76",SE,,sigma12,-0.01,-0.01,-0.01,0.00,0.00,0.00,-0.01,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
